DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Life Ball,Ball Set,Machine,DrawNumber
19-Jan-2023,42,30,47,40,15,8,SFL1,Excalibur 5,402
16-Jan-2023,36,10,23,40,32,10,SFL1,Excalibur 5,401
12-Jan-2023,23,30,31,25,24,9,SFL3,Excalibur 5,400
09-Jan-2023,31,29,7,24,16,3,SFL3,Excalibur 5,399
05-Jan-2023,36,3,40,29,42,6,SFL2,Excalibur 6,398
02-Jan-2023,7,15,3,4,26,6,SFL2,Excalibur 6,397
29-Dec-2022,27,16,42,39,40,7,SFL1,Excalibur 6,396
26-Dec-2022,3,21,7,16,5,6,SFL9,Excalibur 6,395
22-Dec-2022,14,27,40,43,28,8,SFL8,Excalibur 6,394
19-Dec-2022,36,12,1,9,41,5,SFL7,Excalibur 5,393
15-Dec-2022,9,30,6,46,12,5,SFL9,Excalibur 5,392
12-Dec-2022,19,37,26,8,32,10,SFL9,Excalibur 5,391
08-Dec-2022,42,21,3,1,38,2,SFL8,Excalibur 3,390
05-Dec-2022,19,23,34,43,31,8,SFL8,Excalibur 3,389
01-Dec-2022,42,34,40,12,47,2,SFL7,Excalibur 3,388
28-Nov-2022,19,2,12,21,17,4,SFL7,Excalibur 3,387
24-Nov-2022,40,32,14,1,10,7,SFL9,Excalibur 3,386
21-Nov-2022,33,12,31,18,3,3,SFL9,Excalibur 2,385
17-Nov-2022,37,22,25,21,13,2,SFL8,Excalibur 2,384
14-Nov-2022,20,21,37,9,40,8,SFL8,Excalibur 2,383
10-Nov-2022,4,29,31,27,40,1,SFL7,Excalibur 3,382
07-Nov-2022,12,42,10,13,21,5,SFL7,Excalibur 3,381
03-Nov-2022,2,29,37,24,5,3,SFL6,Excalibur 3,380
31-Oct-2022,24,5,17,13,3,7,SFL5,Excalibur 3,379
27-Oct-2022,35,36,15,25,23,7,SFL4,Excalibur 2,378
24-Oct-2022,15,8,38,20,35,1,SFL4,Excalibur 2,377
20-Oct-2022,3,13,36,29,8,1,SFL6,Excalibur 2,376
17-Oct-2022,33,46,19,25,32,5,SFL6,Excalibur 2,375
13-Oct-2022,46,42,6,34,15,8,SFL5,Excalibur 3,374
10-Oct-2022,9,21,8,37,16,1,SFL5,Excalibur 3,373
06-Oct-2022,24,45,3,40,4,6,SFL4,Excalibur 3,372
03-Oct-2022,17,44,1,13,37,4,SFL4,Excalibur 3,371
29-Sep-2022,26,47,8,16,11,7,SFL6,Excalibur 2,370
26-Sep-2022,28,11,25,39,21,6,SFL6,Excalibur 2,369
22-Sep-2022,36,8,11,39,40,1,SFL5,Excalibur 2,368
19-Sep-2022,37,34,25,47,9,2,SFL5,Excalibur 2,367
15-Sep-2022,20,3,23,38,13,4,SFL4,Excalibur 3,366
12-Sep-2022,13,10,14,46,21,7,SFL3,Excalibur 3,365
08-Sep-2022,2,31,42,44,7,3,SFL2,Excalibur 3,364
05-Sep-2022,20,14,6,29,33,5,SFL1,Excalibur 3,363
01-Sep-2022,34,38,25,11,18,3,SFL3,Excalibur 2,362
29-Aug-2022,3,47,14,31,8,8,SFL3,Excalibur 2,361
25-Aug-2022,3,34,1,27,21,7,SFL2,Excalibur 2,360
22-Aug-2022,21,47,38,28,33,1,SFL2,Excalibur 2,359
18-Aug-2022,17,20,40,35,8,1,SFL1,Excalibur 3,358
15-Aug-2022,10,40,18,21,8,9,SFL1,Excalibur 3,357
11-Aug-2022,1,40,12,26,13,7,SFL3,Excalibur 3,356
08-Aug-2022,41,10,23,22,15,7,SFL3,Excalibur 3,355
04-Aug-2022,5,43,44,47,15,3,SFL2,Excalibur 2,354
01-Aug-2022,31,47,11,7,19,9,SFL2,Excalibur 2,353
28-Jul-2022,26,3,15,6,33,6,SFL1,Excalibur 2,352
